ZIP,SOLDPRICE,SQFT,LOTSIZE,BEDS,BATHS,AGE,DOM
2062,419000.0,655,,1,1.0,20,54
1913,244000.0,655,,2,1.0,98,6
1501,148000.0,816,,1,1.0,12,28
2110,1395000.0,1750,,3,2.0,108,42
2215,768000.0,683,,1,1.0,12,56
2093,242000.0,1050,,2,2.0,20,34
2129,525000.0,711,,2,1.0,118,38
2021,138000.0,941,,2,1.0,132,22
1801,350000.0,893,2800.0,2,1.0,132,13
1453,149500.0,1020,1613.0,2,1.5,118,21
2135,420000.0,838,,1,1.0,32,9
1950,712000.0,663,,1,1.0,20,21
1801,410000.0,1011,,2,2.0,20,13
1821,327000.0,1705,,2,2.0,29,8
2124,320000.0,970,,2,1.5,29,42
1757,210000.0,644,,0,1.0,29,20
2453,525000.0,1100,,2,2.5,3,61
1440,80000.0,2961,,3,3.0,16,92
2135,745000.0,1051,,2,2.0,2,129
2127,645000.0,1050,,2,2.0,108,40
1550,81000.0,1023,5000.0,2,2.0,135,31
1754,425000.0,1357,,3,2.0,128,15
2472,350000.0,1673,,3,2.5,15,50
1815,174900.0,1742,,3,2.0,118,75
2144,1375000.0,1071,,2,1.0,118,8
2671,539000.0,991,,2,1.0,113,15
2532,129000.0,1534,,3,2.0,103,20
2370,245000.0,1904,,2,2.5,5,7
2190,120000.0,1081,,2,1.0,125,64
1950,257000.0,1102,,2,1.0,122,7
1949,385000.0,1170,,3,1.0,40,53
2124,490000.0,646,,2,1.0,118,16
1821,415610.0,961,,2,1.0,118,49
1970,215000.0,637,,2,1.0,118,14
2139,494500.0,1148,7035.0,2,2.0,128,21
2134,455000.0,919,919.0,2,1.0,12,36
1876,259900.0,1255,,2,1.0,119,55
1826,153000.0,672,0.0,2,1.0,63,29
2139,959000.0,889,889.0,1,1.5,118,1
2368,240000.0,665,,1,1.0,52,256
2150,149000.0,535,,2,1.0,108,151
2125,319000.0,1500,,2,2.5,5,16
2180,239000.0,1040,1040.0,3,2.0,113,8
1852,100000.0,1311,1311.0,2,1.0,113,52
2131,740000.0,1600,,2,2.0,13,5
1583,294900.0,1120,1120.0,2,1.5,100,46
2135,500000.0,1066,,2,2.0,113,7
1952,415000.0,926,,2,2.0,113,47
1930,755000.0,1216,1216.0,2,1.0,113,11
1824,114000.0,890,,2,1.0,122,16
1450,740933.0,910,,2,1.0,113,12
1845,468300.0,785,785.0,2,1.0,108,20
2145,499000.0,1902,,3,2.5,17,5
1851,150000.0,1534,,2,2.5,0,206
2540,405000.0,1950,,3,3.0,168,194
2045,389000.0,1422,,2,2.0,3,99
1902,91000.0,1384,,2,2.0,3,72
2767,398500.0,1422,,2,2.0,3,57
2143,650800.0,1353,,1,2.0,3,50
2125,565000.0,740,,1,1.0,118,78
1960,261900.0,1358,1358.0,2,2.0,5,100
1821,460000.0,812,812.0,2,2.0,119,42
2190,168500.0,1516,,2,2.0,113,27
1952,285000.0,1478,,2,2.5,118,60
2118,791000.0,1076,,2,1.0,12,49
2025,1212393.0,1517,1517.0,2,2.0,113,88
2139,515000.0,1008,1008.0,2,2.5,113,22
2127,699000.0,728,728.0,2,2.0,128,19
2144,1395000.0,1842,1842.0,3,2.5,106,69
2155,388000.0,1175,,2,1.5,128,28
2152,190000.0,1262,43516440.0,2,1.5,113,22
1887,406000.0,1140,1140.0,1,1.5,12,29
1852,247000.0,900,871.2,2,1.0,118,21
1902,179900.0,625,625.0,2,1.0,118,16
1905,273000.0,830,,2,1.5,128,34
2190,432350.0,1002,,1,1.0,12,63
2136,134000.0,1540,,2,3.0,15,41
2472,580200.0,1039,1039.0,2,1.5,14,15
2054,246000.0,2542,2542.0,3,2.5,118,40
2135,677000.0,1342,,3,2.0,138,54
2135,424000.0,1300,0.03,2,1.5,118,18
2360,790000.0,991,,1,1.0,2,1
6082,185500.0,1353,1474.0,2,2.0,10,7
1950,549900.0,937,1474.0,1,1.0,10,7
2111,1302500.0,1384,1474.0,2,2.0,10,14
2474,505000.0,1877,1474.0,2,2.0,10,14
2169,230000.0,936,936.0,2,2.0,18,17
2446,775000.0,1717,1474.0,2,2.0,10,2
2356,261420.0,1168,1474.0,2,2.0,10,2
2482,560000.0,1515,,2,2.0,8,49
1854,151000.0,1298,1298.0,2,2.0,5,14
2176,350000.0,1379,,2,1.0,118,27
1810,596000.0,1315,,3,2.0,113,49
2169,265000.0,906,,2,1.0,9,46
1824,276500.0,1520,1520.0,3,2.0,118,14
2114,783500.0,655,655.0,1,1.0,128,20
1970,374990.0,1474,,2,2.0,10,37
1915,292600.0,950,,2,2.0,113,20
2111,1500000.0,1132,0.03,2,2.5,118,12
2356,135000.0,1181,,2,2.0,118,3
2472,454900.0,795,,2,1.5,108,7
2703,127000.0,1326,1903.0,2,2.5,113,36
1944,664000.0,1108,1108.0,2,1.0,18,44
2474,480000.0,946,,2,2.0,7,34
2465,1155000.0,782,,2,1.0,118,41
2472,460000.0,490,490.0,1,1.0,118,32
2135,335000.0,856,,2,1.0,112,14
1760,250000.0,916,,2,1.0,128,82
2139,1200000.0,809,,2,1.0,128,82
2111,880000.0,915,1012.0,2,1.5,119,93
2139,665000.0,903,,2,1.0,108,28
2118,2025000.0,760,2250.0,2,1.0,108,58
2150,320000.0,1070,1070.0,2,1.0,118,14
1915,552000.0,873,810.0,1,1.0,108,16
1960,312100.0,948,,2,1.0,98,45
2145,435000.0,624,,2,1.0,113,12
1747,265000.0,840,840.0,2,1.0,98,39
1801,345000.0,1220,,2,2.0,58,43
2169,439499.0,1380,1380.0,3,3.0,119,98
2119,380000.0,2605,2605.0,3,3.5,35,168
2453,320000.0,733,,2,1.0,18,69
2141,575000.0,684,684.0,1,1.0,119,93
2127,641000.0,1631,1631.0,2,2.0,143,14
1832,165000.0,745,738.0,1,1.0,128,7
1864,435000.0,1640,1640.0,3,2.5,143,29
2718,186000.0,2600,,3,2.5,153,25
2114,1215000.0,1332,,2,2.0,143,71
1545,309900.0,2182,2182.0,3,2.5,191,29
1588,133500.0,1046,1046.0,3,2.0,98,7
2150,305000.0,1042,1042.0,2,2.0,118,9
1876,338000.0,660,2093.0,1,1.0,128,54
2131,572000.0,766,,2,1.0,98,17
2143,565000.0,1556,1556.0,3,2.0,27,17
1752,385000.0,730,730.0,2,1.0,17,46
2019,223000.0,2040,2040.0,3,2.5,143,27
2148,270000.0,640,640.0,1,1.0,18,18
2119,277500.0,885,885.0,1,1.0,110,23
1907,315000.0,1068,1068.0,2,1.0,110,33
2129,460000.0,2754,3702.0,4,3.5,11,123
1830,91000.0,1024,1024.0,2,1.0,98,42
6082,324000.0,1030,,3,2.0,118,2
2135,345000.0,925,925.0,2,1.0,92,37
2152,215000.0,2707,2707.0,3,2.5,16,50
2601,90000.0,1795,99999.0,3,2.5,15,20
2134,383193.0,1290,1290.0,3,1.0,118,52
2780,205000.0,1570,,3,2.5,55,23
2115,1150000.0,591,261360.0,1,1.0,123,17
2631,194900.0,1050,,2,1.0,108,6
2646,150000.0,581,581.0,1,1.0,83,8
2453,435000.0,1322,1322.0,3,1.5,113,21
2130,425000.0,695,,1,1.0,58,21
1432,375000.0,930,,2,1.0,113,18
1606,232500.0,810,,1,1.0,55,80
2476,679000.0,943,4865.0,2,1.0,108,28
1832,235000.0,1060,7296.0,2,2.0,143,14
2118,600000.0,398,,1,1.0,108,12
1970,550000.0,2084,3763.0,4,2.5,113,30
1901,279900.0,1110,,2,1.0,88,28
1913,207500.0,995,,2,1.0,88,23
1890,445000.0,1181,,3,2.0,14,21
1568,515108.0,1440,,2,2.0,108,17
2038,396000.0,2473,2473.0,3,1.0,130,33
1970,295000.0,550,,1,1.0,92,36
2021,390000.0,2410,,3,2.5,18,13
2360,600000.0,1310,,3,1.0,108,20
2072,142300.0,1263,,3,2.0,17,5
1545,160000.0,1113,1113.0,3,2.0,118,62
1772,525000.0,1521,,2,2.0,39,4
1748,466390.0,1292,3169.0,3,1.0,98,23
2148,370000.0,1113,5515.0,2,1.5,98,20
2301,130000.0,934,,2,1.0,83,17
2453,574000.0,1075,3460.0,3,1.0,98,24
2043,190000.0,1008,2219.0,3,2.0,113,18
2115,583785.0,1008,2219.0,3,2.0,113,20
2132,465000.0,1178,7762.0,3,2.0,113,13
1863,83400.0,1020,2250.0,2,1.0,118,6
2045,329000.0,1326,1326.0,2,1.0,113,20
2446,845000.0,1126,5000.0,2,2.0,98,15
2476,335000.0,1210,0.0,2,2.0,92,43
2110,949000.0,1433,,3,1.0,113,6
2115,580000.0,1044,,2,2.0,113,5
2472,499000.0,1478,,3,1.0,88,8
1970,212000.0,1021,,3,1.0,113,6
2124,348000.0,2171,,2,1.5,118,20
1841,172000.0,974,974.0,2,1.0,113,27
2021,380311.0,1084,,3,1.0,118,31
2127,600000.0,674,674.0,2,1.0,-7981,8
2143,597000.0,1729,,3,2.5,29,220
2138,625000.0,2299,2299.0,4,3.5,2,242
2043,572000.0,1245,,2,2.0,12,117
2370,110000.0,1443,6781.0,2,1.0,108,41
1915,425900.0,1750,6000.0,3,3.5,2,33
1867,725000.0,1309,,3,1.5,12,77
1830,115000.0,712,99999.0,2,1.0,98,25
1545,286000.0,933,,3,1.0,113,40
1830,250000.0,931,,3,1.0,113,34
2324,146000.0,931,,3,1.0,113,49
1970,170500.0,2350,1873.0,3,3.0,10,21
2446,489000.0,1500,,3,1.0,98,36
2184,300000.0,978,5662.0,2,1.0,108,30
1880,484400.0,945,5662.0,2,1.0,108,28
2124,195000.0,1924,3480.0,3,2.0,108,7
2131,439000.0,1585,,3,2.5,17,16
2124,380000.0,1592,,3,2.5,6,37
2021,390000.0,1500,7929.0,3,3.0,134,25
1824,280500.0,1075,7260.0,2,1.0,96,4
1701,547339.0,1511,3191.0,3,1.0,90,49
2445,1000000.0,1020,,2,1.0,108,16
1876,290000.0,1208,4042.0,2,2.0,103,17
1970,302000.0,1116,,2,2.0,98,19
2532,139000.0,1183,,2,2.0,93,6
2151,297000.0,1940,8000.0,3,2.5,6,46
1950,410000.0,620,,1,1.0,49,20
1890,725000.0,1055,1055.0,2,2.0,32,15
2190,318260.0,1260,1269.0,2,2.0,14,3
2130,470000.0,2446,,3,2.0,98,35
2474,507500.0,883,,2,1.0,32,49
1826,82000.0,2155,2288.0,4,2.0,119,65
2360,350000.0,1200,,2,2.0,68,46
2571,213000.0,2503,10496.0,4,2.5,98,31
2139,1230000.0,901,,1,1.0,9,19
2184,255000.0,1113,,2,2.0,31,20
2144,415000.0,941,,2,1.0,8,50
2138,590000.0,1463,1463.0,2,1.5,35,18
2210,550000.0,860,,2,1.0,48,3
2368,155000.0,785,7627.0,2,1.0,58,37
2142,1575000.0,375,375.0,1,1.0,118,115
2421,888000.0,1500,1965.0,3,1.5,128,66
2135,351000.0,997,997.0,2,1.0,30,6
2122,529000.0,903,,2,1.5,29,18
2130,212500.0,907,,2,1.0,0,5
1907,1700000.0,562,,1,1.0,98,20
1420,165000.0,944,,2,1.5,29,37
2139,510000.0,669,699.0,1,1.0,29,11
2019,245950.0,364,,0,1.0,83,28
2129,470000.0,1050,,3,2.0,55,13
2114,565000.0,540,,1,1.0,88,16
2021,405000.0,1119,,2,2.0,129,6
2446,1400000.0,1345,1345.0,2,2.0,92,18
2472,440000.0,1112,,2,2.0,15,15
2476,200000.0,837,837.0,3,1.0,118,66
2081,305000.0,1380,1301.0,3,2.5,119,26
2026,1100000.0,766,,2,1.0,98,1
1970,399000.0,543,,1,1.0,108,20
1852,250000.0,722,722.0,1,1.0,53,9
1913,247500.0,760,760.0,2,1.0,78,44
1453,160000.0,1120,1120.0,2,1.0,93,21
1810,470500.0,829,829.0,2,1.0,55,7
2150,170000.0,540,,1,1.0,108,6
2144,795000.0,735,,2,1.0,53,8
2360,121000.0,523,,1,1.0,88,21
2021,356900.0,821,871.0,2,1.0,55,15
1810,135000.0,570,,1,1.0,83,4
2780,249900.0,862,862.0,1,1.0,78,6
2140,585000.0,872,,2,1.0,88,16
2461,678600.0,360,,1,1.0,88,7
1569,245000.0,1320,,3,1.0,83,216
2351,235000.0,1168,,1,1.0,110,22
1863,82121.0,655,655.0,1,1.0,53,15
1843,149000.0,2600,0.0,3,4.5,2,47
1740,419900.0,738,,2,1.0,48,41
2129,760000.0,340,,0,1.0,118,6
2135,519500.0,1524,,3,2.0,32,20
1752,343590.0,619,,1,1.0,48,5
2035,130000.0,777,,2,1.0,98,6
2043,845000.0,800,,2,1.0,113,19
2464,1295000.0,900,,2,1.0,109,6
2130,877000.0,1355,,2,2.5,116,104
2138,325000.0,1927,,3,3.5,32,8
2038,188000.0,558,,1,1.0,53,6
2111,935000.0,793,,1,1.5,164,12
2139,850000.0,865,,2,1.0,126,8
2143,670000.0,1259,1949.0,2,2.0,148,7
2072,380000.0,1525,,2,1.5,116,12
2119,350000.0,1390,,3,1.5,93,6
2149,635000.0,592,,1,1.0,53,13
2118,2010000.0,1413,,3,2.0,102,52
2135,356000.0,871,,2,1.5,40,9
1970,265000.0,1361,,3,2.0,118,8
1602,165000.0,910,,2,1.0,102,19
1915,468900.0,804,,2,1.0,124,21
1588,202000.0,826,,2,2.0,118,28
1757,231000.0,1378,,3,3.0,13,17
2111,959000.0,1274,,3,2.0,124,26
2464,430000.0,937,,2,1.0,118,10
2458,525000.0,1504,,3,2.0,8,6
1930,141500.0,1085,,2,1.0,98,6
1760,177000.0,458,,1,1.0,108,34
2131,365000.0,1036,,3,2.0,118,36
1721,216000.0,508,,1,1.0,54,27
1852,144500.0,1516,,2,2.5,14,40
2127,730000.0,694,,1,1.0,13,36
1950,713000.0,1155,,2,2.0,12,48
2474,525000.0,1066,,3,2.0,115,21
2420,873000.0,1022,,2,1.0,118,8
2111,968000.0,2422,,3,3.0,108,24
2190,313345.0,615,,1,1.0,113,23
1581,364607.0,1153,,2,2.0,13,7
1748,451000.0,1197,,2,1.0,115,27
2081,520000.0,1081,,3,2.0,109,12
1721,399000.0,1681,,3,2.5,91,10
1913,210000.0,1137,,1,2.0,157,213
1543,76000.0,661,,1,1.0,20,39
2124,264000.0,1103,,2,2.0,10,31
1876,489900.0,1046,,2,2.0,20,46
1772,365000.0,1287,,2,2.0,32,55
1851,52000.0,670,,1,1.0,88,14
2048,337500.0,644,,1,1.0,32,59
1832,111000.0,1055,,2,2.0,20,18
2115,739000.0,1105,,2,2.0,32,7
2056,510000.0,962,,1,2.0,116,23
2108,1150000.0,507,,2,1.0,128,20
2125,497800.0,977,,2,2.0,88,35
1832,195000.0,1112,,2,2.0,12,12
2150,395000.0,1210,,2,2.0,29,19
2762,360000.0,1605,7900.0,3,2.0,108,151
2446,1315000.0,1560,7900.0,3,2.0,108,126
2458,800000.0,1449,7900.0,3,2.0,108,125
1906,270000.0,1431,,2,2.0,20,117
1752,95000.0,1378,,2,1.0,108,27
1420,148000.0,1061,,2,2.0,2,78
2048,89500.0,1185,,2,2.0,2,54
2445,830000.0,1135,2178.0,3,1.0,108,7
1583,297500.0,1150,,2,1.5,5,6
2155,450000.0,720,,2,1.0,122,21
2360,520000.0,1420,5000.0,3,2.0,2,11
2116,980000.0,1427,5000.0,3,2.0,2,18
1821,170000.0,2102,,3,3.5,2,64
2110,1200000.0,1183,,2,2.0,2,64
2176,300000.0,1427,5000.0,3,2.0,2,0
2151,316000.0,1123,,3,2.0,108,30
1852,236000.0,1289,,3,2.0,108,15
2116,860000.0,904,,2,1.0,118,7
2130,400000.0,800,,2,1.0,118,7
1747,212000.0,1194,,2,2.0,31,6
2134,369900.0,878,,2,2.0,32,14
2140,483000.0,1053,,2,2.0,31,19
2038,470000.0,1070,,2,1.0,118,3
2474,300500.0,2050,,3,2.5,118,65
1949,429900.0,855,,1,1.5,94,55
2125,445000.0,690,,1,1.0,59,7
2130,790000.0,1891,,3,2.5,113,51
2129,571500.0,1065,,2,1.0,96,8
1944,262500.0,2068,,3,3.0,118,35
2171,420000.0,1450,4498.0,3,2.5,98,64
2482,890000.0,1372,,3,2.0,118,7
2067,345000.0,610,,1,1.0,118,21
2125,495000.0,1189,,2,1.0,98,3
2127,495000.0,1606,,3,2.5,118,12
1742,456500.0,1998,1737.0,2,1.0,88,18
2155,400000.0,1489,,1,1.5,148,12
2025,996946.0,930,5527.0,2,1.0,118,27
1810,195000.0,940,5527.0,2,1.0,118,22
1890,470000.0,856,5527.0,2,1.0,118,20
2780,153000.0,856,,2,1.0,118,17
1746,443275.0,1365,,2,2.0,98,20
1821,136000.0,1065,,2,1.0,98,20
1601,99000.0,686,,2,1.0,128,59
2476,476000.0,925,,2,2.0,98,30
2446,945000.0,1317,,2,2.5,13,13
2453,448800.0,1298,,2,2.0,118,28
2452,442500.0,982,,2,1.5,32,81
2421,946400.0,532,,1,1.0,93,60
1510,250000.0,1002,,2,1.5,39,32
2045,370000.0,566,,1,1.0,51,22
2127,800000.0,1190,,2,1.5,38,48
2148,315000.0,743,,2,1.0,45,14
2127,375000.0,1011,,2,1.5,32,41
1845,385000.0,750,,2,0.5,134,60
2130,579000.0,1057,,2,2.0,31,15
2111,685000.0,590,,1,1.5,48,15
1952,304700.0,889,,1,1.5,31,38
2144,425000.0,697,,2,1.0,39,44
2108,1400000.0,1878,,3,2.5,11,26
1970,275000.0,2356,,3,2.5,12,160
2138,770000.0,1705,32234.0,3,2.5,13,133
2144,570000.0,1056,,2,1.5,29,228
2171,700000.0,2251,,4,2.0,118,58
2145,1075000.0,830,,1,1.5,11,44
2110,835000.0,1202,,3,1.5,13,25
2141,555000.0,822,,1,1.0,14,24
1854,202000.0,821,,2,1.0,118,3
2150,324000.0,737,,1,1.0,161,9
3811,249000.0,1022,,2,2.0,31,36
1876,570000.0,850,,2,1.0,48,25
2351,332000.0,807,,1,1.5,31,21
2128,587000.0,1320,,2,1.5,148,70
2631,210000.0,1023,,2,2.0,31,13
2129,400000.0,900,,1,1.0,148,68
1757,340000.0,865,,1,1.5,31,25
2130,540000.0,1300,,3,2.0,2,60
1835,199900.0,801,,2,1.0,98,28
3811,295000.0,927,100000.0,1,1.0,14,5
1864,185000.0,850,,2,1.0,48,43
2128,389000.0,1913,2000.0,3,1.5,13,169
2150,250000.0,750,,2,1.0,108,194
1760,200000.0,1090,,1,1.0,11,91
2780,180000.0,794,,2,1.0,36,114
2124,213000.0,555,,1,1.0,48,124
2122,150000.0,951,,2,2.0,48,7
1902,234400.0,927,,2,2.0,48,59
1902,438000.0,1150,,2,2.0,30,101
2021,370000.0,1752,,4,2.0,98,19
2127,965000.0,890,,2,2.0,30,27
2152,350000.0,1504,0.0,3,3.0,32,31
1901,167000.0,335,,0,1.0,36,41
3865,384900.0,2077,,3,2.5,2,72
1906,367000.0,967,,2,1.0,42,8
1760,275000.0,885,,2,1.5,48,39
1915,245000.0,939,,2,1.5,58,55
1938,249000.0,1297,,3,1.0,13,7
2171,609000.0,2497,8135.0,5,2.5,121,103
2125,419000.0,866,,2,1.0,118,34
1970,197000.0,667,,2,1.0,98,97
1876,489900.0,1400,3217.0,2,1.0,128,74
1510,272500.0,1240,5227.0,3,1.0,98,61
2129,384500.0,1203,,2,2.0,35,1
2124,495000.0,989,,2,1.0,47,76
2125,514500.0,1588,,3,1.0,118,12
2124,133000.0,1669,6800.0,3,3.0,108,46
2169,224000.0,1615,6800.0,4,2.0,108,24
2127,989000.0,1684,,3,2.0,131,48
1588,141500.0,1780,6000.0,3,3.0,118,56
2445,790000.0,860,,1,1.5,118,15
2445,1495000.0,1234,,2,2.0,31,53
2118,2500000.0,815,,2,1.0,123,20
2368,231000.0,1229,1.0,2,2.0,37,8
2043,216000.0,1113,,2,2.0,30,5
2143,655000.0,1817,3080.0,4,3.0,108,15
1970,324900.0,1296,,2,2.0,7,15
2138,447000.0,1182,1.0,2,2.0,32,58
2458,547000.0,1465,,3,2.0,108,11
2169,405500.0,977,,2,1.0,118,51
1757,205000.0,2180,13335.0,5,1.5,138,5
2143,263000.0,1330,4975.0,2,1.0,93,12
2118,741000.0,661,1.0,1,1.0,128,28
1844,183000.0,1840,,3,3.0,138,318
1970,325000.0,1070,,3,1.5,31,105
1970,183000.0,1050,,2,1.5,12,57
2492,286000.0,1779,,2,2.0,19,13
2021,200000.0,1468,,2,2.5,13,61
2760,203500.0,945,,2,1.5,33,21
2140,383750.0,1040,,2,2.0,30,22
2110,2485000.0,1192,,2,1.5,14,50
1835,287000.0,765,,1,1.0,43,15
2180,474000.0,836,,1,1.0,14,19
1702,126000.0,1269,99999999.0,3,2.5,27,20
2110,3300000.0,763,,2,1.0,31,40
1890,535000.0,1429,11000.0,3,2.5,12,52
1876,250000.0,1559,,2,2.5,17,286
1810,269900.0,1959,,2,2.5,33,35
2341,339900.0,1770,,2,2.0,30,268
2375,165000.0,844,,1,1.0,15,18
2021,117000.0,1258,,3,1.0,123,90
2703,98000.0,1015,,2,2.0,30,42
2189,187000.0,765,,1,1.0,43,57
2169,234000.0,844,,1,1.0,15,12
2116,2525000.0,1630,,2,2.5,17,22
2474,667500.0,1452,,2,2.0,30,30
2446,920000.0,694,,1,1.0,31,34
2324,142500.0,623,,1,1.0,33,11
1876,455000.0,726,,1,1.0,26,6
3051,274900.0,661,,1,1.0,30,24
1876,345000.0,880,46000.0,2,2.0,12,204
1545,163000.0,882,,2,1.0,118,102
2745,195000.0,1155,32199.0,2,2.0,2,69
2190,171000.0,1255,,2,2.0,38,37
2670,625000.0,1357,0.0,2,2.0,5,19
2155,580000.0,1155,32199.0,2,2.0,2,41
1886,385000.0,1167,,2,2.0,38,20
2114,790000.0,1105,,2,2.0,32,25
2135,590000.0,728,,1,1.0,92,59
1810,736250.0,1218,,3,1.0,108,22
1966,327500.0,842,,2,1.0,57,97
2148,235000.0,535,3900.0,1,1.0,118,34
2026,195000.0,1900,,2,2.5,11,28
2127,435000.0,1122,,2,2.0,56,7
2067,211000.0,700,,1,1.0,39,52
2148,290000.0,0,,2,1.5,0,16
2139,1300000.0,1567,13163.0,3,1.5,108,15
2210,785000.0,1050,,2,2.0,14,101
1886,405000.0,803,,2,1.0,54,17
1852,325000.0,1337,,3,2.5,23,104
2478,436000.0,965,,1,1.0,7,38
2130,585000.0,1119,,2,2.0,14,25
2871,745500.0,941,,2,2.0,30,69
2115,495000.0,1491,,3,2.0,44,38
2136,243000.0,1078,,2,2.0,14,35
2129,415000.0,1325,,2,2.0,6,8
2118,600000.0,1320,,2,3.5,33,14
1960,275000.0,1278,,3,2.0,30,21
2116,1175000.0,1105,,2,2.0,23,63
2176,417000.0,723,,2,1.0,11,29
1719,98000.0,1089,,2,1.5,30,5
2472,331500.0,1030,,1,1.0,5,18
2184,287000.0,1581,9673.0,2,1.5,148,320
1907,229000.0,1578,,2,1.5,33,2
1905,107000.0,1920,,3,2.0,90,24
1453,137900.0,1046,,2,1.0,98,22
1960,229000.0,1460,,1,2.0,15,7
1824,235000.0,589,,1,1.0,49,239
2038,157500.0,654,,1,1.0,31,19
2116,835000.0,672,,2,1.0,63,57
1832,180000.0,1060,,2,1.0,34,84
2673,210000.0,1068,,2,1.5,13,53
2180,219900.0,910,,2,1.5,48,47
1970,285000.0,774,,1,1.0,50,68
2122,505000.0,463,,0,1.0,50,57
1906,340000.0,1400,,2,2.0,31,51
2113,505000.0,1060,,2,1.0,34,34
2135,557250.0,1000,,2,1.0,34,20
1952,762000.0,1700,,2,1.5,29,56
1902,215000.0,1540,,2,1.5,17,20
1749,586635.0,912,,1,1.0,30,99
2116,425000.0,630,,2,1.0,58,27
1844,490000.0,420,,1,1.0,58,2
2139,680000.0,426,,0,1.0,12,40
1801,373500.0,1353,1353.0,1,1.5,99,4
1880,529900.0,1557,,2,2.5,12,24
2766,230000.0,1354,,2,1.5,32,53
1801,320000.0,1119,,2,2.0,108,14
2144,1099000.0,700,700.0,1,1.0,91,20
1432,390000.0,514,,1,1.0,118,6
1776,505000.0,1148,13300.0,3,2.0,45,147
2130,690000.0,916,,2,1.5,45,88
1718,280000.0,960,,1,1.0,36,63
2445,1300000.0,1140,,3,1.5,14,21
1863,237500.0,1390,,2,2.5,10,8
2021,165000.0,1011,,2,1.0,47,8
2131,625000.0,2225,,2,2.5,2,161
1581,145000.0,2225,,2,2.5,2,0
1701,249000.0,2375,,2,2.5,2,18
2540,407000.0,1700,,2,2.5,10,108
2360,306000.0,2066,,3,2.5,88,29
1902,250000.0,1253,3049.0,2,1.5,37,21
1970,471000.0,3348,,2,3.5,3,15
1830,107500.0,2052,,3,2.5,11,82
2453,749999.0,1160,,2,1.5,22,49
3079,389900.0,1024,,2,1.5,32,77
2130,448000.0,1153,,3,1.5,32,57
2445,608000.0,1172,,2,2.0,20,13
2155,512000.0,1188,,2,1.5,31,21
1778,725000.0,2600,,2,2.5,2,0
1747,229000.0,2600,,2,2.5,2,1
2144,560000.0,1785,2265120.0,2,2.5,2,206
2148,340000.0,1200,,2,1.5,14,50
2125,490000.0,1307,,2,1.5,30,88
2118,1135000.0,1728,1524600.0,2,1.5,28,63
2127,295000.0,1999,0.0,2,2.5,13,6
2128,410000.0,1669,,3,2.5,12,6
2138,662000.0,1492,436035.0,2,2.5,30,12
1545,117000.0,1850,,2,2.5,7,119
1876,345000.0,1456,,2,2.0,33,99
1748,220000.0,896,,2,1.0,46,44
3079,93000.0,1200,,2,1.5,15,29
2210,869000.0,1495,,2,2.0,14,20
1966,499000.0,1334,,2,1.5,15,2
1841,120000.0,1340,,2,2.0,6,46
2180,235000.0,1373,,2,2.0,38,329
2130,730000.0,1680,,1,1.5,35,55
2375,265000.0,1458,,1,1.5,34,63
2072,218000.0,1598,,2,2.5,31,28
1830,145000.0,1206,,2,1.5,29,83
2180,355000.0,2300,,2,2.5,4,869
1505,197500.0,1565,,2,2.5,28,140
2132,460000.0,895,,2,1.0,47,138
2190,226000.0,1215,,2,2.5,35,142
1752,220000.0,2132,2132.0,2,3.0,14,184
2072,239000.0,945,,2,1.5,32,33
2128,269211.0,1765,,2,1.5,35,77
2116,850000.0,1044,,2,1.0,47,84
2301,117000.0,2590,,3,3.5,20,91
1746,618455.0,1961,,2,2.5,14,102
1469,64900.0,1568,,2,2.0,13,128
2446,951250.0,942,,2,1.5,18,39
2141,738000.0,942,,2,1.5,32,8
2332,430000.0,942,,2,1.5,18,10
2114,1050000.0,3018,,2,2.5,6,32
2766,191000.0,1046,,2,2.0,12,3
2114,525000.0,1090,,2,2.0,33,60
2130,449000.0,1780,,2,2.5,30,7
2116,612483.0,953,0.0,2,1.0,34,3
1754,284000.0,1224,,3,1.5,39,56
2130,465000.0,1768,,2,2.5,29,63
2155,415000.0,1370,,3,2.0,32,590
2152,199900.0,717,,2,1.0,51,68
1960,425000.0,765,,2,1.5,51,19
2190,319200.0,1795,,3,1.5,29,3
1721,357900.0,1580,,2,1.5,22,48
1760,225000.0,1911,,3,2.5,29,35
1604,185000.0,835,,2,1.0,49,11
2122,505000.0,1332,,2,2.0,13,14
2169,228000.0,1698,,2,1.5,38,155
1604,242000.0,1050,,2,1.0,39,15
2149,331000.0,1052,,2,1.5,42,50
2110,875000.0,1024,,2,1.5,45,28
1852,115000.0,1052,,2,1.5,42,39
1913,133000.0,2120,,2,2.0,6,56
2745,80000.0,1800,436.0,3,2.5,41,27
2135,315000.0,3850,,4,4.5,7,18
1803,569900.0,2188,,3,2.5,81,12
1913,61500.0,720,,1,1.0,48,7
2122,599000.0,1160,,3,2.0,143,7
2649,480000.0,3055,,4,4.5,80,76
2118,817000.0,1220,,2,2.0,34,7
1720,313000.0,578,,1,1.0,110,48
1876,259900.0,3280,9884.0,4,3.0,98,7
1913,210000.0,2406,,3,2.0,91,10
2130,580000.0,1380,,3,1.5,104,7
1864,453000.0,929,,2,1.0,118,21
2452,429900.0,2675,,4,3.0,98,16
2140,1425000.0,1243,,2,2.0,17,42
1970,301000.0,870,,1,1.0,48,19
2116,470000.0,1550,,2,2.0,103,4
