ZIP,SOLDPRICE,SQFT,LOTSIZE,BEDS,BATHS,AGE,DOM
2562,410000.0,1800,,3,2.5,2,48
2152,294000.0,1791,,3,2.5,13,15
1801,260000.0,2203,,3,2.5,30,75
1830,178000.0,2000,16855.0,3,2.5,2,38
2476,585000.0,1185,,2,2.0,2,16
1864,135000.0,1183,,2,2.0,2,16
1930,498500.0,1457,,2,1.5,14,95
2445,1425000.0,1270,6098.0,2,1.0,112,84
2143,730000.0,978,978.0,1,1.0,119,41
2038,252500.0,1932,1932.0,3,2.5,7,34
2127,799000.0,2077,,3,1.5,118,26
2067,181000.0,690,,1,1.0,16,10
2110,3250000.0,1639,0.0,2,1.5,32,31
2191,245000.0,1195,1195.0,1,2.0,118,58
2360,295000.0,951,,2,1.0,138,7
1505,190000.0,740,,1,1.0,10,21
1730,618000.0,1495,,2,1.0,138,59
1984,725000.0,767,,1,1.0,15,93
1810,165000.0,1136,1860.0,2,2.0,118,75
3051,148000.0,1409,,3,2.5,28,73
2114,410000.0,1250,,2,2.0,45,60
2130,461000.0,1115,,2,2.0,33,76
1510,139900.0,1002,,2,2.0,44,94
2171,230000.0,505,0.0,1,2.0,54,93
2130,735000.0,1074,0.0,2,1.5,42,26
2130,477000.0,1289,,2,1.5,30,13
2368,260000.0,1548,,2,2.0,12,85
1720,132000.0,592,,2,1.0,119,4
1510,374900.0,1295,,2,2.0,52,77
2472,871000.0,1176,0.0,2,2.0,49,36
2125,475000.0,1720,,2,2.5,98,24
2116,1195000.0,1520,0.0,2,2.5,34,51
1938,550000.0,1922,1922.0,2,2.0,118,59
2144,830000.0,842,,2,1.0,50,74
1453,111000.0,929,929.0,2,2.0,119,8
2116,1250000.0,1110,1110.0,2,1.0,113,80
2445,1450000.0,922,,2,1.0,50,21
1702,398500.0,1698,,3,2.5,12,45
2472,311000.0,2092,2092.0,2,2.5,10,27
1504,143700.0,896,,1,1.0,45,49
1760,254000.0,1240,,3,1.0,113,17
2451,375000.0,1598,0.0,2,1.5,40,6
2453,396700.0,1972,,2,2.0,11,86
2171,255000.0,1045,,2,2.0,29,60
2472,375000.0,716,28740.0,1,1.0,30,88
1749,180000.0,921,,2,2.0,29,8
2072,349500.0,1990,,3,1.0,98,8
1801,247000.0,1147,,1,1.5,10,55
2176,460000.0,1008,1008.0,2,1.5,118,15
1950,350000.0,1159,,2,2.0,15,14
1331,105000.0,1442,1442.0,2,2.5,34,18
2482,1460000.0,1856,,3,2.5,15,65
2035,252000.0,540,540.0,1,1.0,54,77
2151,147000.0,1274,,2,1.5,36,27
2139,910000.0,1108,,2,1.0,34,73
2061,650000.0,300,5314.0,1,1.0,118,77
2127,480000.0,829,,2,1.0,118,42
1901,268000.0,1578,,3,2.0,11,59
2135,320000.0,2891,,3,2.5,34,4
1602,104000.0,2389,,4,2.5,14,23
2472,365000.0,2415,,3,2.5,9,65
1950,571000.0,702,702.0,2,1.0,118,27
2169,199000.0,1100,,3,1.0,118,58
2152,229900.0,1833,,2,2.5,14,31
2151,213750.0,1827,,3,3.5,119,28
2536,270000.0,1257,1257.0,2,2.0,11,78
1879,220000.0,627,,1,1.0,49,51
1890,160250.0,1171,,2,2.0,108,42
2129,1587000.0,1195,1195.0,1,1.5,118,52
1821,165000.0,2213,332926.0,2,2.5,34,2
2445,1465000.0,1394,5500.0,2,1.5,63,36
2140,497000.0,2100,0.0,2,2.5,13,61
2186,542000.0,1874,0.0,2,2.5,26,77
